,Date Created,Number of Likes,Source of Tweet,Tweets
0,2023-02-05 12:23:36+00:00,0,Twitter for iPhone,"@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse Ronald, I can cover the 3pm party. https://t.co/gEU03tuOJe"
1,2023-02-05 12:12:56+00:00,0,Twitter for iPhone,"@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse Yes,you  think unfunded tax cuts for the most wealthy in society causing ordinary peoples mortgages to rise to the highest levels for years is good thing, yep."
2,2023-02-05 11:27:12+00:00,0,Twitter for iPhone,@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse You lost me at “snowdon”.
3,2023-02-05 11:13:52+00:00,0,Twitter for iPhone,"@wayneinuk2018 @RobertKennedyJr How do we know you haven’t been vaccinated, is there a blood test to determine you’ve been vaccinated ?"
4,2023-02-05 11:12:47+00:00,0,Twitter for iPhone,@SBuller8 @RobertKennedyJr Stop talking sense.
5,2023-02-05 11:10:28+00:00,0,Twitter for iPhone,@danielmgmoylan @RL96738231 “highly respected “ cool story boss man.
6,2023-02-05 11:04:03+00:00,0,Twitter for iPhone,@actononsugar @tweets_mensa @DrLoupis https://t.co/fonBNqHmXd
7,2023-02-05 11:02:57+00:00,0,Twitter for iPhone,@tweets_mensa @DrLoupis https://t.co/7u1PNodWew
8,2023-02-05 10:59:44+00:00,0,Twitter for iPhone,"@bungebutler @misrab @Daniel_Grigg @UKLabour Better to be elected than unelectable, you can’t change anything from a position of opposition, especially having been destroyed by an 80 majority."
9,2023-02-05 10:55:25+00:00,0,Twitter for iPhone,@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse How much did the support for pensions cost?
10,2023-02-05 10:37:06+00:00,0,Twitter for iPhone,"@up_northish @DrEliDavid It really isn’t, but you continue to think everything is an absolute, nothing is absolute."
11,2023-02-05 10:34:45+00:00,0,Twitter for iPhone,@up_northish @DrEliDavid No they didn’t.
12,2023-02-05 10:33:56+00:00,0,Twitter for iPhone,"@up_northish @DrEliDavid Your point is what exactly?
Are you disputing this mask study?"
13,2023-02-05 10:32:19+00:00,0,Twitter for iPhone,@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse Would you like to put a figure on it?
14,2023-02-05 09:50:59+00:00,2,Twitter for iPhone,"@poshjonn @KateAndrs @SpecCoffeeHouse She cost the UK £60 billion in lost assets in a two week period.
How much more time do you think she should’ve been  given?"
15,2023-02-05 09:33:09+00:00,2,Twitter for iPhone,"@secrettory12 Hi Ronald, I can cover the 3pm party, will Hamburgler be there? https://t.co/fJMoGjWQVE"
16,2023-02-05 08:47:36+00:00,0,Twitter for iPhone,@whingewine @yoghurteater He’s 37.
17,2023-02-05 08:43:04+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff Daily Quordle 377
4️⃣7️⃣
6️⃣8️⃣
https://t.co/NULuuObzBO"
18,2023-02-05 08:40:54+00:00,0,Twitter for iPhone,"@whingewine @yoghurteater It’s similar because he has blood pressure, I’m saying he’s overweight because it could be a potential cause of his blood pressure, however, he has been overweight for a long time but this has only occurred in the last couple of weeks. I’m not saying anyone else is overweight."
19,2023-02-05 08:35:00+00:00,0,Twitter for iPhone,"@ROfiron @LittleScoff Sunday morning……🕶. Wordle 596 2/6

⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩"
20,2023-02-05 08:29:59+00:00,0,Twitter for iPhone,"@yoghurteater Funny enough, this has happened to a friend in recent days, my friend is very overweight and kept getting headaches, turns out his BP is really high, he has to monitor for a full week before they decide a course of action."
21,2023-02-05 08:20:30+00:00,0,Twitter for iPhone,"@FLproud @jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 https://t.co/eeFswLqxNG read this, if you still “agree to disagree “ then you’re an imbecile."
22,2023-02-05 08:18:43+00:00,0,Twitter for iPhone,"@up_northish @DrEliDavid https://t.co/eeFswLqxNG I went out last night, just picking up my tweets this morning, hope you will read this study."
23,2023-02-05 08:01:22+00:00,0,Twitter for iPhone,@up_northish @DrEliDavid Why would you want to be infected numerous times by a disease that experts know little about?
24,2023-02-04 23:26:32+00:00,1,Twitter for iPhone,@FLproud @jasonwoody @KristenMeghan @DrCanuckMD @IanCopeland5 And “sen Ron Johnson” is qualified in which field of science?
