,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
0,0,2023-02-05 12:23:36+00:00,0,Twitter for iPhone,"@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse Ronald, I can cover the 3pm party. https://t.co/gEU03tuOJe",F92Zulu poshjonn KateAndrs SpecCoffeeHouse Ronald I can cover the 3pm party,positive
1,1,2023-02-05 12:12:56+00:00,0,Twitter for iPhone,"@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse Yes,you  think unfunded tax cuts for the most wealthy in society causing ordinary peoples mortgages to rise to the highest levels for years is good thing, yep.",F92Zulu poshjonn KateAndrs SpecCoffeeHouse Yesyou think unfunded tax cuts for the most wealthy in society causing ordinary peoples mortgages to rise to the highest levels for years is good thing yep,positive
2,2,2023-02-05 11:27:12+00:00,0,Twitter for iPhone,@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse You lost me at “snowdon”.,F92Zulu poshjonn KateAndrs SpecCoffeeHouse You lost me at snowdon,negative
3,3,2023-02-05 11:13:52+00:00,0,Twitter for iPhone,"@wayneinuk2018 @RobertKennedyJr How do we know you haven’t been vaccinated, is there a blood test to determine you’ve been vaccinated ?",wayneinuk2018 RobertKennedyJr How do we know you havent been vaccinated is there a blood test to determine youve been vaccinated,neutral
4,4,2023-02-05 11:12:47+00:00,0,Twitter for iPhone,@SBuller8 @RobertKennedyJr Stop talking sense.,SBuller8 RobertKennedyJr Stop talking sense,negative
5,5,2023-02-05 11:10:28+00:00,0,Twitter for iPhone,@danielmgmoylan @RL96738231 “highly respected “ cool story boss man.,danielmgmoylan RL96738231 highly respected cool story boss man,positive
6,6,2023-02-05 11:04:03+00:00,0,Twitter for iPhone,@actononsugar @tweets_mensa @DrLoupis https://t.co/fonBNqHmXd,actononsugar tweetsmensa DrLoupis,neutral
7,7,2023-02-05 11:02:57+00:00,0,Twitter for iPhone,@tweets_mensa @DrLoupis https://t.co/7u1PNodWew,tweetsmensa DrLoupis,neutral
8,8,2023-02-05 10:59:44+00:00,0,Twitter for iPhone,"@bungebutler @misrab @Daniel_Grigg @UKLabour Better to be elected than unelectable, you can’t change anything from a position of opposition, especially having been destroyed by an 80 majority.",bungebutler misrab DanielGrigg UKLabour Better to be elected than unelectable you cant change anything from a position of opposition especially having been destroyed by an 80 majority,negative
9,9,2023-02-05 10:55:25+00:00,0,Twitter for iPhone,@F92Zulu @poshjonn @KateAndrs @SpecCoffeeHouse How much did the support for pensions cost?,F92Zulu poshjonn KateAndrs SpecCoffeeHouse How much did the support for pensions cost,positive
10,10,2023-02-05 10:37:06+00:00,0,Twitter for iPhone,"@up_northish @DrEliDavid It really isn’t, but you continue to think everything is an absolute, nothing is absolute.",upnorthish DrEliDavid It really isnt but you continue to think everything is an absolute nothing is absolute,neutral
