,Unnamed: 0,Date Created,Number of Likes,Source of Tweet,Tweets,TweetsNoStop,VADARpredictions
0,0,2022-09-28 14:32:43+00:00,1,Twitter for iPhone,Congrats @hoxtonfarms 🎉,Congrats hoxtonfarms,positive
1,1,2022-09-27 13:16:44+00:00,0,Twitter Web App,📢Last few days to apply for this role at @RoslinTech ⬇️ #ScienceJobs,Last few days to apply for this role at RoslinTech ScienceJobs,neutral
2,2,2022-07-01 11:40:58+00:00,4,Twitter Web App,"Check out this amazing initiative from @GoodFoodEurope and @EITFood:

#CultivatedMeat #SustainableProteins

https://t.co/80CLblfMeN",Check out this amazing initiative from GoodFoodEurope and EITFoodCultivatedMeat SustainableProteins,positive
3,3,2022-06-10 12:08:04+00:00,3,Twitter Web App,Check out this excellent summary from @linuspardoe on their new paper out today:,Check out this excellent summary from linuspardoe on their new paper out today,positive
4,4,2022-06-10 11:53:44+00:00,4,Twitter Web App,Can't wait for a conference like this to happen in the UK. All those people trying cell ag salmon and cell ag cream cheese!! #FutureOfFood,Cant wait for a conference like this to happen in the UK All those people trying cell ag salmon and cell ag cream cheese FutureOfFood,positive
5,5,2022-05-25 08:17:45+00:00,4,Twitter for iPhone,"There are less than 2 weeks to apply to @GoodFoodInst 2022 call for research proposals. This grant programme is open to scientists around the world.

You can download the RFP at https://t.co/WMmDM5WoMZ.

Apply by June 3! #AlternativeProteins #CultivatedMeat #Fermentation",There are less than 2 weeks to apply toGoodFoodInst 2022 call for research proposals This grant programme is open to scientists around the worldYou can download the RFP atApply by June 3 AlternativeProteins CultivatedMeat Fermentation,positive
6,6,2022-05-24 10:04:00+00:00,4,Twitter for iPhone,🚨 Event alert! This Thursday: #CultivatedMeat,Event alert This Thursday CultivatedMeat,positive
7,7,2022-05-18 19:28:22+00:00,3,Twitter for iPhone,👏👏👏we couldn’t agree more!,we couldnt agree more,negative
8,8,2022-05-18 19:27:18+00:00,6,Twitter for iPhone,📣Event alert! Another fantastic seminar from those fab people at @GoodFoodScience,Event alert Another fantastic seminar from those fab people at GoodFoodScience,positive
9,9,2022-05-09 16:21:17+00:00,4,Twitter for iPhone,"📣Job alert from the lovely people @mosa_meat #AlternativeProteins 

https://t.co/6nqJ8Kc9HP",Job alert from the lovely people mosameat AlternativeProteins,positive
10,10,2022-05-09 16:11:33+00:00,2,Twitter for iPhone,@hoxtonfarms @mirasbek Hi @mirasbek 👋👋👋,hoxtonfarms mirasbek Hi mirasbek,neutral
11,11,2022-04-30 10:53:14+00:00,4,Twitter for iPhone,"📣Calling all Cambridge students, alumni and staff ⬇️⬇️⬇️",Calling all Cambridge students alumni and staff,neutral
12,12,2022-04-30 10:51:25+00:00,1,Twitter for iPhone,Another interesting seminar coming up from @GoodFoodScience ⬇️,Another interesting seminar coming up from GoodFoodScience,positive
13,13,2022-04-28 12:38:58+00:00,3,Twitter Web App,👏👏👏,,neutral
14,14,2022-04-26 18:48:03+00:00,2,Twitter Web App,📢 Attention all scientists! @GoodFoodEurope are taking applications for research grants. See below for more details ⬇️ #AlternativeProteins,Attention all scientists GoodFoodEurope are taking applications for research grants See below for more details AlternativeProteins,positive
15,15,2022-04-18 15:48:43+00:00,1,Twitter for iPhone,Starting soon! ⬇️,Starting soon,neutral
16,16,2022-04-18 08:01:47+00:00,7,Twitter for iPhone,Tune in later for @GoodFoodInst first-ever Twitter Space. #AlternativeProteins,Tune in later for GoodFoodInst firstever Twitter Space AlternativeProteins,neutral
17,17,2022-04-15 08:30:00+00:00,0,Twitter Web App,"Applications for the Alt Protein Project are now live! Through the Alt Protein Project, student groups work with @GoodFoodInst to build alternative protein courses, research projects, and startups at their universities. #AlternativeProteins

https://t.co/LmMOqINast",Applications for the Alt Protein Project are now live Through the Alt Protein Project student groups work with GoodFoodInst to build alternative protein courses research projects and startups at their universities AlternativeProteins,neutral
18,18,2022-04-14 11:30:00+00:00,0,Twitter Web App,"Applications for the Alt Protein Project are now live! @GoodFoodInst are looking for motivated, visionary students that can lead their universities to transform our food system. #AlternativeProteins

https://t.co/LmMOqINast",Applications for the Alt Protein Project are now live GoodFoodInst are looking for motivated visionary students that can lead their universities to transform our food system AlternativeProteins,positive
19,19,2022-04-14 09:00:02+00:00,1,Twitter Web App,📢 Event Alert - tonight! Come and join our friendly Journal Club. #CellularAgriculture,Event Alert tonight Come and join our friendly Journal Club CellularAgriculture,positive
20,20,2022-04-13 14:00:01+00:00,1,Twitter Web App,"Want to come and discuss this paper:
https://t.co/agH5rEGb23
Then please come and join our Journal Club on Thursday 14th at 5.30pm. DM for details! #CellularAgriculture",Want to come and discuss this paperThen please come and join our Journal Club on Thursday 14th at 530pm DM for details CellularAgriculture,positive
